,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch50000_mlp.0,0.06448431607246594,0.9844825022812689,29.50771025929101,0.23464217715793187,2.0
epoch50000_mlp.1,0.1093007305061246,0.9463243215526542,16.73081610062049,0.28120574951171873,1.0
epoch50000_mlp.2,0.13869638251451147,0.8509562746825445,15.925126918907702,0.22181716495090062,1.0
epoch50000_mlp.3,0.283604124557496,0.7503748224129303,8.057044060463326,0.20595775180392795,1.0
epoch50000_mlp.4,0.2797450680582893,0.7516511288644709,8.472463124428304,0.1754229439629449,1.0
epoch50000_mlp.5,0.5201969289115216,0.7960343710105457,3.474609837569293,0.11776167551676432,1.0
