,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch80000_mlp.0,0.06441930806718339,0.9706711539275487,29.03200838984095,0.2322916242811415,1.0
epoch80000_mlp.1,0.1111317651969806,0.9708130424892636,16.819751694604804,0.2789204915364583,2.0
epoch80000_mlp.2,0.1348982019414232,0.8495367059557557,16.324893783975387,0.21973130967881943,1.0
epoch80000_mlp.3,0.2852850793531084,0.7681552553730435,7.811440453976317,0.20134879218207466,1.0
epoch80000_mlp.4,0.26641669491296377,0.748788374923451,8.679547858493127,0.17141244676378037,1.0
epoch80000_mlp.5,0.5067642190961219,0.7990644484250063,3.3568385507694587,0.11781192355685764,1.0
