,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch1000_mlp.0,0.06455189664391911,0.966010881862366,28.811823722875154,0.23544105953640407,1.0
epoch1000_mlp.1,0.1272079777014985,0.9612816267614577,14.599339190357398,0.28386501736111114,2.0
epoch1000_mlp.2,0.1564291774275642,0.8549656759342856,13.697341732325466,0.22736699846055772,1.0
epoch1000_mlp.3,0.28009811377717336,0.7779182000742078,7.5500620630915165,0.21210426754421657,1.0
epoch1000_mlp.4,0.28308467121133946,0.7769554218487359,7.809805999157635,0.18164617750379775,1.0
epoch1000_mlp.5,0.48776329987140477,0.8079528735293053,3.7035256936192473,0.11886848873562283,1.0
