,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch3000_layers.2,0.06468956020577302,1.104281111880402,26.869440547364,0.2236836845405007,13.0
epoch3000_layers.3,0.047385571321555235,1.0180546320289714,38.82841550092915,0.19885311779548018,13.0
epoch3000_layers.1,0.06144806816204781,1.0980520629554762,28.504952200725555,0.20817674606845513,13.0
epoch3000_layers.0,0.04631305871811379,1.3269036844616708,32.76906430228234,0.2589624000852798,19.0
epoch3000_layers.4,0.05709077737859951,1.0892142385425454,30.394623635491094,0.32119454552353144,17.0
epoch3000_layers.5,0.15399212791910166,1.5222800701281305,8.582437746440146,0.16260249784541947,13.0
epoch3000_layers.6,0.16179357806475955,1.6162493149158381,8.1197258656237,0.28751465747138066,19.0
