,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch20_layers.1,0.03371457556348926,1.370066157467721,44.4935699743138,0.30304739896507865,16.0
epoch20_layers.0,0.036511745327715804,1.279831812381161,43.22490749734715,0.24591180199721033,16.0
epoch20_layers.2,0.03456091894004128,1.3803367344850166,43.104704576445855,0.3070042386968085,16.0
epoch20_layers.3,0.03008761617129391,1.2178341323219921,54.03077845267401,0.30129996413549376,14.0
epoch20_layers.6,0.11798460416487092,12.952924266633733,8.60804820663942,0.31480143756143036,14.0
epoch20_layers.4,0.034217404809904,1.3082213571610006,45.0553473156554,0.4596780641116443,14.0
epoch20_layers.5,0.11314795967895505,13.658273337465253,9.016871817641695,0.35256401859534,10.0
