,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch5000_layers.0,0.048225054405973175,1.325191048761551,31.48428432683336,0.25265994146948717,19.0
epoch5000_layers.1,0.05452332349957967,1.1336804260453768,31.171021836357987,0.2103145998126373,16.0
epoch5000_layers.3,0.04923374230370152,1.0053571265529682,37.88638976467776,0.20519150020235893,13.0
epoch5000_layers.2,0.05751180970000231,1.1422102486627936,29.290535156425182,0.2206577297496531,16.0
epoch5000_layers.6,0.15868761841661647,1.4939661731996199,8.456516972780797,0.2957404010500983,18.0
epoch5000_layers.5,0.15709158724420766,1.4107739948843139,8.83619003586163,0.1709227442851671,14.0
epoch5000_layers.4,0.0622558285470877,1.0824809328428822,28.15584918116165,0.30971903276046486,16.0
