,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch1000_mlp.0,0.06668532624591136,0.9678805992910802,28.477278656637445,0.23340572781032987,1.0
epoch1000_mlp.1,0.07381324621454134,0.9981271567433782,26.003239807208068,0.23451179928249782,2.0
epoch1000_mlp.2,0.05136288946794857,1.0409797809857233,34.0762426533454,0.24248385959201388,2.0
epoch1000_mlp.3,0.05510997629500684,1.0718699641071736,31.96354158929372,0.27784156799316406,2.0
epoch1000_mlp.4,0.049110206831218674,1.0674242589253355,35.92942489461185,0.2971825917561849,2.0
epoch1000_mlp.5,0.11387610635545684,4.50227378018147,8.96462029339385,0.22378109825981987,1.0
