,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch200_layers.2,0.04490809711430904,1.2142211401424523,35.84047072935415,0.288898478604157,17.0
epoch200_layers.3,0.0467735626643677,1.077439671936292,37.940234973092124,0.28277652821642285,15.0
epoch200_layers.1,0.042445462904251746,1.192314703693659,38.74047952513769,0.2742218666888298,17.0
epoch200_layers.0,0.04378868175249276,1.2936453694125558,35.324854610008806,0.27728265838199584,18.0
epoch200_layers.4,0.061379688381813284,1.1835946443511793,26.92744773090309,0.3114768000910615,17.0
epoch200_layers.5,0.06112109345344322,1.1215816006591133,27.674669904884258,0.30641449567457796,16.0
epoch200_layers.6,0.0840076996972324,1.3398033422313764,17.879848773963868,0.33675932906271683,18.0
