,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch1500_layers.0,0.045791291490645085,1.3081863643051321,33.33243397261894,0.27192522837650324,18.0
epoch1500_layers.1,0.045089504299716275,1.1877455536146346,36.46435046235033,0.26976949037169,17.0
epoch1500_layers.2,0.04758335150522995,1.223113560175092,33.56536881623058,0.2856838286308973,17.0
epoch1500_layers.3,0.04439334560361778,1.1048295054198105,39.23891898898609,0.2820308660600717,17.0
epoch1500_layers.4,0.06507119156260073,1.2188286831952422,24.73496691931486,0.3074782633538824,18.0
epoch1500_layers.5,0.06641170520019195,1.1612746609776883,25.15086874788105,0.30393955114260524,16.0
epoch1500_layers.6,0.08288412106413631,1.391030594086157,17.757118782197193,0.3273944131320103,18.0
