,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch40000_layers.0,0.05157334032486507,1.3324884679383069,29.240340089692477,0.2509273843121242,18.0
epoch40000_layers.1,0.05148350031173241,1.126903488597789,33.546611611452185,0.23504469286612512,15.0
epoch40000_layers.2,0.054051627104138245,1.1908156325122567,30.47136750273346,0.2641519128338922,17.0
epoch40000_layers.3,0.05223732372089297,1.0608034814367726,34.89161119378137,0.24815274078905528,15.0
epoch40000_layers.4,0.07643723157376076,1.231251650107776,20.901032903859765,0.36240287449048914,16.0
epoch40000_layers.5,0.07279572186483926,1.1876996014268435,22.61426319734608,0.3807122356686517,16.0
epoch40000_layers.6,0.11157192249172947,1.1857502915391167,14.763757684140153,0.6864749368531742,12.0
