,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch400_layers.5,0.04365812715366993,1.3568836834632552,33.776637578567005,0.190030531128946,14.0
epoch400_layers.4,0.03678170592385133,1.211300786738098,44.448958013895734,0.26701102314118874,15.0
epoch400_layers.6,0.05867798328004599,1.6995771928053576,22.5047766106549,0.23315057039922527,16.0
epoch400_layers.3,0.03296414575473807,1.115471616038342,53.12560939408336,0.20945727042199064,13.0
epoch400_layers.2,0.03915148702804495,1.2522648223031032,40.55791471653746,0.22549791362526017,15.0
epoch400_layers.0,0.03549359248226111,1.300331089806137,43.61779075506646,0.24577699955914661,18.0
epoch400_layers.1,0.037899291886417136,1.241868968119759,42.13724955910418,0.22102563453977797,16.0
