,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch7000_layers.1,0.05980777351457118,1.099280815485108,29.307459886047425,0.19438929385768386,13.0
epoch7000_layers.0,0.04778078393376156,1.2753028187207842,32.79131415988007,0.251147528691605,17.0
epoch7000_layers.2,0.06003164840398508,1.1211586943255083,28.608395161821043,0.20719792509828863,14.0
epoch7000_layers.3,0.04401482839430635,1.035261301948672,42.26247413188075,0.18623453681938743,14.0
epoch7000_layers.6,0.10365518191833806,1.3867145925614206,14.069120859652552,0.2445551389681863,17.0
epoch7000_layers.4,0.05723371310800622,1.1002709079057602,30.465375254317895,0.23590480299816433,15.0
epoch7000_layers.5,0.08739560025548046,1.2623093611650809,17.576325442337783,0.15542605362150208,14.0
