,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch9000_layers.5,0.08871638309222044,1.247207237178068,17.511371885243612,0.16119767294009454,14.0
epoch9000_layers.4,0.05490737498562086,1.1162674270144188,31.257400751316535,0.244267551023358,16.0
epoch9000_layers.6,0.10332318536216618,1.385247994550476,13.969798378352555,0.2349329550546369,17.0
epoch9000_layers.3,0.04255758653767299,1.0470178449725824,42.44463398629659,0.18306986961400035,14.0
epoch9000_layers.2,0.0549491317772251,1.1525143216022165,30.269933343982146,0.2026172676756909,15.0
epoch9000_layers.0,0.047441936318589686,1.2924253638931356,32.78182735940449,0.249300523558554,18.0
epoch9000_layers.1,0.05744184635614913,1.1099905063901483,30.150464499927587,0.1931712444351295,13.0
