,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch50_layers.5,0.02791340294431588,1.4993839527262691,50.9546879958815,0.22373009610242253,15.0
epoch50_layers.4,0.032816114203348797,1.2636827840426732,48.67127320181234,0.2616402681617137,14.0
epoch50_layers.6,0.045552250303939126,2.150525612692469,26.975442507988365,0.2441002266148965,16.0
epoch50_layers.3,0.02897387212947777,1.1520179327468691,59.159196601284535,0.21597493301377485,14.0
epoch50_layers.2,0.03487512915004882,1.2922209188773068,44.78332159452501,0.2292922281976324,15.0
epoch50_layers.0,0.0366897528407005,1.271173292530517,42.98167727831351,0.24142978325913506,16.0
epoch50_layers.1,0.03393149610151228,1.279897215678285,46.23565965107151,0.22863159744305042,15.0
