,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch5000_layers.0,0.04725015670791941,1.2732346264209682,33.34523387497391,0.2521554839269195,17.0
epoch5000_layers.1,0.05152530307731189,1.1585802365005091,32.27942007164995,0.19644676017937673,14.0
epoch5000_layers.3,0.0418871151687407,1.0446820944674018,43.486180624717115,0.18670434096033764,13.0
epoch5000_layers.2,0.051909565120679645,1.1704845879063284,31.661555928745816,0.20661730064935535,15.0
epoch5000_layers.6,0.10221444499965739,1.4075723837752352,14.105883645647204,0.2401379383238899,16.0
epoch5000_layers.5,0.08492386983580805,1.2963424248110962,17.634996954696526,0.15586649765028765,14.0
epoch5000_layers.4,0.05903068333763749,1.0816468509024,29.977174261887072,0.2422763425701752,13.0
