,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch10_mlp.0,0.0669904673976611,0.9539209863687702,28.173839949350914,0.23445873260498046,1.0
epoch10_mlp.1,0.0632575077802646,1.0192737150132853,27.85466625384504,0.24325620863172742,1.0
epoch10_mlp.2,0.08003280143193862,0.9447045027711465,25.062914914806974,0.2478833516438802,1.0
epoch10_mlp.3,0.065986648251324,1.0414061786555127,27.984335490848103,0.2539525773790148,2.0
epoch10_mlp.4,0.0743349572647055,0.9887252657775528,26.450727816087664,0.239731322394477,1.0
epoch10_mlp.5,0.1421036356049477,2.643221878813183,7.720800423705721,0.27860692342122395,2.0
