,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch8000_layers.0,0.043328460385545824,1.2811232880258923,36.17680116004384,0.2727814708783823,18.0
epoch8000_layers.1,0.0483996198408772,1.1870268169238711,33.62072501652734,0.22495836510248035,14.0
epoch8000_layers.2,0.05143206979371252,1.1815586465603183,31.953636061646737,0.23370183473599387,14.0
epoch8000_layers.3,0.04410953169782391,1.045611463124432,41.93329376256474,0.21586277173913043,13.0
epoch8000_layers.4,0.04788215978208988,1.154010664799513,34.885134587096054,0.29084019832981617,16.0
epoch8000_layers.5,0.07666505396896187,1.4051686203189626,18.6541540205563,0.17507156809648908,15.0
epoch8000_layers.6,0.08921370756490005,1.5062394013884626,15.480176090213428,0.24425199581008614,16.0
