,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch20_layers.0,0.03552648468032475,1.2882661089127532,43.92042238563609,0.24643147598252485,17.0
epoch20_layers.1,0.033153435513007166,1.268056133089115,47.821945385495944,0.23385428147223347,15.0
epoch20_layers.2,0.033278055129374526,1.2831858740972404,46.69964439350861,0.23332808615431314,15.0
epoch20_layers.3,0.028092863772228485,1.1532756016518668,60.93634286678213,0.21839248417264107,14.0
epoch20_layers.4,0.0315960337627387,1.2784524265516117,50.03291486141439,0.24563900703197272,15.0
epoch20_layers.5,0.0287009422636291,1.415033315859963,51.484440886817595,0.24456770170848752,15.0
epoch20_layers.6,0.04617344400255174,2.1614163743563783,26.561154849044616,0.26190998596134946,17.0
