,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch9000_layers.5,0.09910916995427542,1.2507218162469134,15.778388804181464,0.18082547253971293,13.0
epoch9000_layers.4,0.0513662636486408,1.1292022348336253,32.68877033048609,0.27302132041006594,15.0
epoch9000_layers.6,0.10590352430486123,1.3669738225035488,13.721527552391946,0.249757948459904,17.0
epoch9000_layers.3,0.04190015779901578,1.0433733689184406,43.4718211746177,0.19700025475543478,14.0
epoch9000_layers.2,0.056611361724567905,1.1523399545510102,29.860966302840186,0.21951186667979591,14.0
epoch9000_layers.0,0.04470083465908295,1.302364517568178,34.3303126687441,0.2612168050054926,18.0
epoch9000_layers.1,0.05427635242027102,1.1374635405390978,31.2005292974848,0.20841907991732192,14.0
