,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch4000_layers.6,0.1006585162924,1.4378556544630383,14.110336276891562,0.2476018716845658,18.0
epoch4000_layers.5,0.08193982734597055,1.3856499160473843,17.610546792460756,0.17528574164546715,15.0
epoch4000_layers.4,0.050779207395504455,1.1245814018422078,33.73555869740117,0.2581047178086696,16.0
epoch4000_layers.0,0.03964848621101829,1.3288475278906833,38.31637550683525,0.2581764524673335,19.0
epoch4000_layers.1,0.05293002797364118,1.1579241204172668,31.654957024673717,0.19822448674006996,14.0
epoch4000_layers.3,0.04193744940077912,1.0515264104367403,43.393733655825876,0.18566884650443022,14.0
epoch4000_layers.2,0.05504906598956869,1.1673892009278328,30.325143726215266,0.20215747138066606,14.0
