,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch3000_layers.2,0.05218123191103449,1.1872869048654433,31.531815407881787,0.2082150553686546,15.0
epoch3000_layers.3,0.040014786329198,1.0605621122772886,44.70797045433635,0.19503626086775844,13.0
epoch3000_layers.1,0.05109815182504858,1.16689548707173,32.45100934552009,0.2030613676030585,14.0
epoch3000_layers.0,0.04376315993766873,1.2695598023717491,36.19567289899295,0.2591758819777694,17.0
epoch3000_layers.4,0.04955838884916813,1.1251853917201802,34.51133796922414,0.2836616509055562,15.0
epoch3000_layers.5,0.09081700715432013,1.3299929212367902,16.42133416941853,0.1820402330650873,14.0
epoch3000_layers.6,0.09936285383300093,1.4636996944156666,14.156306678715213,0.24093455721337304,18.0
