,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch500_mlp.0,0.06505797779098098,0.9742849432033663,29.084403751978307,0.2358653598361545,1.0
epoch500_mlp.1,0.09557341779656388,0.9576675987204262,20.364090288668674,0.2619071112738715,2.0
epoch500_mlp.2,0.08225479028974318,0.93411504228855,23.945319697608728,0.2290267096625434,2.0
epoch500_mlp.3,0.10899755797591626,0.9098406275761558,18.60894905923201,0.2278325398763021,2.0
epoch500_mlp.4,0.13036504389033718,0.8394314835324534,16.833543483433264,0.19197747972276474,1.0
epoch500_mlp.5,0.44703492079149015,0.7663427384131213,4.470090712394187,0.11888220045301649,1.0
