,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch100000_mlp.0,0.06467243157802523,0.9626407866523147,28.961308407485284,0.23215851253933376,1.0
epoch100000_mlp.1,0.13118724470877857,1.0285992310152987,13.892669007777613,0.3349330478244358,2.0
epoch100000_mlp.2,0.2611668595139577,1.0505819713824174,6.1922022473778275,0.14492994944254559,1.0
epoch100000_mlp.3,0.3479125535662967,1.2438203096898648,4.160133691124817,0.16666488647460936,1.0
epoch100000_mlp.4,0.39488288642188624,0.9288939766897439,3.957630713980494,0.13530737559000652,1.0
epoch100000_mlp.5,0.5984548275293972,0.7865039308201169,2.4601865752253924,0.11435491773817275,1.0
