,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch10_layers.4,0.032448718662612,1.264883830603502,48.85784209693877,0.24680279670877658,14.0
epoch10_layers.5,0.02934606535151156,1.4216347806400027,50.144076693043345,0.23256195661207793,15.0
epoch10_layers.6,0.046881567408915456,2.100044289759199,26.231856206585064,0.25463096484555675,17.0
epoch10_layers.2,0.03458564456031254,1.2848388699009516,45.25260936602835,0.2329730264132603,15.0
epoch10_layers.3,0.028724099271177857,1.1497725746888328,59.45619168929969,0.21713273774463748,14.0
epoch10_layers.1,0.03576843848082412,1.2428962058719522,44.89172158056227,0.23471230251936864,13.0
epoch10_layers.0,0.03660279738130114,1.274555339978487,43.09082086505228,0.24299569354908648,16.0
