,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch10000_layers.1,0.047634508613058325,1.14273099298215,35.32232219922182,0.2056406816876012,14.0
epoch10000_layers.0,0.04612170239209066,1.2622014958369967,34.286793352752966,0.2555221854041397,17.0
epoch10000_layers.2,0.04798668898924898,1.1721934448987612,34.4725197911955,0.21312156768996443,15.0
epoch10000_layers.3,0.0407781876357108,1.059345663408229,44.71917111252285,0.19821816302360373,14.0
epoch10000_layers.6,0.07803709137267646,1.3159957840988352,19.644332618561222,0.418034979637633,16.0
epoch10000_layers.4,0.051150768361577996,1.1367773109203767,33.50854275772934,0.2671377797792842,15.0
epoch10000_layers.5,0.05530514796908323,1.1131027655344627,30.977613206592267,0.33905526160311633,14.0
