,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch100_layers.0,0.05073627759284121,1.3525858614733046,29.483314640114337,0.25300523332706987,19.0
epoch100_layers.1,0.048291992018567036,1.1575769687253552,34.544983380871706,0.23208657687290413,16.0
epoch100_layers.2,0.05840207458478034,1.1908077128978867,28.14115585015156,0.26331715402947214,17.0
epoch100_layers.3,0.05498545463841206,1.0374660466589982,33.189252488931565,0.25115026708668187,16.0
epoch100_layers.4,0.0756931000408736,1.2391653575752584,20.706422302473182,0.29454205677974676,18.0
epoch100_layers.5,0.0767506128793896,1.1054930563346659,22.41048829445641,0.28200664396753583,17.0
epoch100_layers.6,0.10621223348516645,1.2343245537885184,14.879798480251152,0.3478859364159343,17.0
