,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch2_layers.0,0.04410817649653719,1.2297652155456085,36.49013095841886,0.3295490219017403,17.0
epoch2_layers.1,0.04427107348461808,1.1699987344042768,37.658844726651274,0.3273748491341929,17.0
epoch2_layers.2,0.04791670434556911,1.1719448583847716,34.74546335041777,0.36307135342889973,16.0
epoch2_layers.3,0.050595020367803036,1.074716443000908,35.23816573200439,0.3619090599885812,15.0
epoch2_layers.4,0.07816815834733366,1.0971115357383796,22.53959790624926,0.41074630356187847,15.0
epoch2_layers.5,0.08090504876187508,1.1089846724510863,21.30609387126568,0.40963406346662523,15.0
epoch2_layers.6,0.11493462885024909,1.1772492967652792,14.154229643376778,0.4598806488855805,13.0
