,avg_capacity,avg_radius,avg_dimension,center_correlation,K
epoch200_layers.0,0.050670790916396785,1.3424797951379366,29.42326172439743,0.25468124403763875,19.0
epoch200_layers.1,0.047029726021724,1.1714494003970175,35.04714530320069,0.23522700787031683,16.0
epoch200_layers.2,0.055757932000381386,1.212420318863816,29.13447937112186,0.2655617346044606,18.0
epoch200_layers.3,0.05671442207187784,1.0378024283067244,32.175848154473194,0.2556692682737338,15.0
epoch200_layers.4,0.0758223176019001,1.249320121914023,20.552815791151044,0.2960252505998497,18.0
epoch200_layers.5,0.07099337626748843,1.1330420596220319,23.518404794916112,0.28505156990778213,18.0
epoch200_layers.6,0.10702176493846433,1.2401054446494362,14.761784653978989,0.3490943308785268,17.0
